rank,company,revenue ($ millions),profit ($ millions)
1,Exxon Mobil,452926,41060
2,Wal-Mart Stores,446950,15699
3,Chevron,245621,26895
4,ConocoPhillips,237272,12436
5,General Motors,150276,9190
6,General Electric,147616,14151
7,Berkshire Hathaway,143688,10254
8,Fannie Mae,137451,-16855
9,Ford Motor,136264,20213
10,Hewlett-Packard,127245,7074
11,AT&T,126723,3944
12,Valero Energy,125095,2090
13,Bank of America Corp.,115074,1446
14,McKesson,112084,1202
15,Verizon Communications,110875,2404
16,J.P. Morgan Chase & Co.,110838,18976
17,Apple,108249,25922
18,CVS Caremark,107750,3461
19,International Business Machines,106916,15855
20,Citigroup,102939,11067
21,Cardinal Health,102644.2,959
22,UnitedHealth Group,101862,5142
23,Kroger,90374,602
24,Costco Wholesale,88915,1462
25,Freddie Mac,88262,-5266
26,Wells Fargo,87597,15869
27,Procter & Gamble,82559,11797
28,Archer Daniels Midland,80676,2036
29,AmerisourceBergen,80217.6,706.6
30,INTL FCStone,75497.6,37.3
31,Marathon Petroleum,73645,2389
32,Walgreen,72184,2714
33,American International Group,71730,17798
34,MetLife,70641,6981
35,Home Depot,70395,3883
36,Medco Health Solutions,70063.3,1455.7
37,Microsoft,69943,23150
38,Target,69865,2929
39,Boeing,68735,4018
40,Pfizer,67932,10009
41,PepsiCo,66504,6443
42,Johnson & Johnson,65030,9672
43,State Farm Insurance Cos.,64305.1,845
44,Dell,62071,3492
45,WellPoint,60710.7,2646.7
46,Caterpillar,60138,4928
47,Dow Chemical,59985,2742
48,United Technologies,58190,4979
49,Comcast,55842,4160
50,Kraft Foods,54365,3527
51,Intel,53999,12942
52,United Parcel Service,53105,3804
53,Best Buy,50272,1277
54,Lowe's,50208,1839
55,Prudential Financial,49045,3666
56,Amazon.com,48077,631
57,Merck,48047,6272
58,Lockheed Martin,46692,2655
59,Coca-Cola,46542,8572
60,Express Scripts Holding,46128.3,1275.8
61,Sunoco,45765,-1684
62,Enterprise Products Partners,44313,2046.9
63,Safeway,43630.2,516.7
64,Cisco Systems,43218,6490
65,Sears Holdings,41567,-3140
66,Walt Disney,40893,4807
67,Johnson Controls,40833,1624
68,Morgan Stanley,39376,4110
69,Sysco,39323.5,1152
70,FedEx,39304,1452
71,Abbott Laboratories,38851.3,4728.4
72,DuPont,38719,3474
73,Google,37905,9737
74,Hess,37871,1703
75,Supervalu,37534,-1510
76,United Continental Holdings,37110,840
77,Honeywell International,37059,2067
78,CHS,36915.8,961.4
79,Humana,36832,1419
80,Goldman Sachs Group,36793,4442
81,Ingram Micro,36328.7,244.2
82,Oracle,35622,8547
83,Delta Air Lines,35115,854
84,Liberty Mutual Insurance Group,34671,365
85,World Fuel Services,34622.9,194
86,New York Life Insurance,34393.5,557.3
87,Plains All American Pipeline,34275,966
88,TIAA-CREF,34079,2388.4
89,Aetna,33779.8,1985.7
90,Sprint Nextel,33679,-2890
91,News Corp.,33405,2739
92,General Dynamics,32677,2526
93,Allstate,32654,788
94,HCA Holdings,32506,2465
95,American Express,32282,4935
96,Tyson Foods,32266,750
97,Deere,32012.5,2799.9
98,Murphy Oil,31446.3,872.7
99,Philip Morris International,31097,8591
100,Nationwide,30697.8,-793.1
101,Tesoro,29927.0,546.0
102,3M,29611.0,4283.0
103,Time Warner,28974.0,2886.0
104,Northrop Grumman,28058.0,2118.0
105,DirecTV,27226.0,2609.0
106,Publix Super Markets,27178.8,1492.0
107,McDonald's,27006.0,5503.1
108,Avnet,26534.4,669.1
109,Tech Data,26488.1,206.4
110,Macy's,26405.0,1256.0
111,International Paper,26034.0,1341.0
112,Travelers Cos.,25446.0,1426.0
113,Rite Aid,25214.9,-555.4
114,Staples,25022.2,984.7
115,Alcoa,24951.0,611.0
116,Northwestern Mutual,24861.0,645.1
117,Raytheon,24857.0,1866.0
118,Halliburton,24829.0,2839.0
119,Eli Lilly,24286.5,4347.7
120,Emerson Electric,24234.0,2480.0
121,Massachusetts Mutual Life Insurance,24226.4,877.4
122,Occidental Petroleum,24216.0,6771.0
123,AMR,23979.0,-1979.0
124,Fluor,23381.4,593.7
125,TJX,23191.5,1496.1
126,Goodyear Tire & Rubber,22767.0,343.0
127,Xerox,22626.0,1295.0
128,Aflac,22171.0,1964.0
129,Manpower,22006.0,251.6
130,Cigna,21998.0,1327.0
131,Hartford Financial Services Group,21918.0,662.0
132,U.S. Bancorp,21399.0,4872.0
133,Arrow Electronics,21390.3,598.8
134,Bristol-Myers Squibb,21244.0,3709.0
135,Freeport-McMoRan Copper & Gold,20880.0,4560.0
136,Nike,20862.0,2133.0
137,Kimberly-Clark,20846.0,1591.0
138,Nucor,20023.6,778.2
139,EMC,20007.6,2461.3
140,United States Steel,19884.0,-53.0
141,Baker Hughes,19831.0,1739.0
142,Time Warner Cable,19675.0,1665.0
143,Union Pacific,19557.0,3292.0
144,United Services Automobile Assn.,19036.1,2128.3
145,Exelon,18924.0,2495.0
146,Kohl's,18804.0,1167.0
147,Whirlpool,18666.0,390.0
148,Capital One Financial,18525.0,3147.0
149,Illinois Tool Works,18256.8,2071.4
150,Cummins,18048.0,1848.0
151,AES,17759.0,58.0
152,Southern,17657.0,2203.0
153,J.C. Penney,17260.0,-152.0
154,Apache,16888.0,4584.0
155,Colgate-Palmolive,16734.0,2431.0
156,Altria Group,16619.0,3390.0
157,Jabil Circuit,16518.8,381.1
158,Danaher,16476.4,2172.3
159,Paccar,16355.2,1042.3
160,FirstEnergy,16258.0,885.0
161,TRW Automotive Holdings,16244.0,1157.0
162,Computer Sciences,16144.0,740.0
163,Eaton,16049.0,1350.0
164,Medtronic,15933.0,3096.0
165,PNC Financial Services Group,15820.0,3056.0
166,Bank of New York Mellon Corp.,15804.0,2516.0
167,Southwest Airlines,15658.0,178.0
168,Amgen,15582.0,3683.0
169,Progressive,15508.1,1015.5
170,HollyFrontier,15439.5,1023.4
171,CenturyLink,15351.0,573.0
172,NextEra Energy,15341.0,1923.0
173,Marathon Oil,15282.0,2946.0
174,L-3 Communications,15169.0,956.0
175,Oneok,15119.2,360.6
176,American Electric Power,15116.0,1941.0
177,Viacom,14963.0,2136.0
178,Qualcomm,14962.0,4260.0
179,PG&E Corp.,14956.0,844.0
180,PPG Industries,14885.0,1095.0
181,General Mills,14880.2,1798.3
182,Global Partners,14835.7,19.4
183,Dollar General,14807.2,766.7
184,National Oilwell Varco,14658.0,1994.0
185,Gap,14549.0,833.0
186,Duke Energy,14529.0,1706.0
187,Dominion Resources,14379.0,1408.0
188,CBS,14245.0,1305.0
189,Lear,14156.5,540.7
190,Loews,14127.0,1064.0
191,DISH Network,14048.4,1515.9
192,Anadarko Petroleum,13967.0,-2649.0
193,Navistar International,13958.0,1723.0
194,"Toys ""R"" Us",13909.0,149.0
195,Baxter International,13893.0,2224.0
196,Omnicom Group,13872.5,952.6
197,AutoNation,13832.4,281.4
198,Community Health Systems,13817.0,201.9
199,Constellation Energy,13758.2,-340.3
200,Texas Instruments,13735.0,2236.0
201,Ally Financial,13642.0,-157.0
202,Chubb,13585.0,1678.0
203,Waste Management,13378.0,961.0
204,Aramark,13244.7,100.1
205,Kellogg,13198.0,1231.0
206,Motorola Mobility Holdings,13064.0,-249.0
207,Dean Foods,13055.5,-1575.6
208,US Airways Group,13055.0,71.0
209,Consolidated Edison,12938.0,1051.0
210,Land O'Lakes,12849.3,182.2
211,Edison International,12760.0,-37.0
212,PPL,12756.0,1495.0
213,Yum Brands,12626.0,1319.0
214,Genuine Parts,12458.9,565.1
215,ConAgra Foods,12395.5,817.0
