rank,company,revenue ($ millions),profit ($ millions)
1,Wal-Mart Stores,469162.0,16999.0
2,Exxon Mobil,449886.0,44880.0
3,Chevron,233899.0,26179.0
4,Phillips 66,169551.0,4124.0
5,Berkshire Hathaway,162463.0,14824.0
6,Apple,156508.0,41733.0
7,General Motors,152256.0,6188.0
8,General Electric,146874.0,13641.0
9,Valero Energy,138286.0,2083.0
10,Ford Motor,134252.0,5665.0
11,AT&T,127434.0,7264.0
12,Fannie Mae,127230.0,17220.0
13,CVS Caremark,123133.0,3876.9
14,McKesson,122734.0,1403.0
15,Hewlett-Packard,120357.0,-12650.0
16,Verizon Communications,115846.0,875.0
17,UnitedHealth Group,110618.0,5526.0
18,J.P. Morgan Chase & Co.,108184.0,21284.0
19,Cardinal Health,107552.0,1069.0
20,International Business Machines,104507.0,16604.0
21,Bank of America Corp.,100078.0,4188.0
22,Costco Wholesale,99137.0,1709.0
23,Kroger,96751.3,1496.5
24,Express Scripts Holding,94416.7,1312.9
25,Wells Fargo,91247.0,18897.0
26,Citigroup,90769.0,7541.0
27,Archer Daniels Midland,89038.0,1223.0
28,Procter & Gamble,85120.0,10756.0
29,Prudential Financial,84838.0,469.0
30,Boeing,81698.0,3900.0
31,Freddie Mac,80635.0,10982.0
32,AmerisourceBergen,79720.5,719.0
33,Marathon Petroleum,76783.0,3389.0
34,Home Depot,74754.0,4535.0
35,Microsoft,73723.0,16978.0
36,Target,73301.0,2999.0
37,Walgreen,71633.0,2127.0
38,American International Group,70143.0,3438.0
39,INTL FCStone,69260.6,15.0
40,MetLife,68224.0,1324.0
41,Johnson & Johnson,67224.0,10853.0
42,Caterpillar,65875.0,5681.0
43,PepsiCo,65492.0,6178.0
44,State Farm Insurance Cos.,65285.7,3159.2
45,ConocoPhillips,63373.0,8428.0
46,Comcast,62570.0,6203.0
47,WellPoint,61711.7,2655.5
48,Pfizer,61244.0,14570.0
49,Amazon.com,61093.0,-39.0
50,United Technologies,59783.0,5130.0
51,Dell,56940.0,2372.0
52,Dow Chemical,56786.0,1182.0
53,United Parcel Service,54127.0,807.0
54,Intel,53341.0,11005.0
55,Google,52203.0,10737.0
56,Lowe's,50521.0,1959.0
57,Coca-Cola,48017.0,9019.0
58,Merck,47267.0,6168.0
59,Lockheed Martin,47182.0,2745.0
60,Cisco Systems,46061.0,8041.0
61,Best Buy,45087.0,-441.0
62,Safeway,44206.5,596.5
63,FedEx,42680.0,2032.0
64,Enterprise Products Partners,42583.1,2419.9
65,Sysco,42380.9,1121.6
66,Walt Disney,42278.0,5682.0
67,Johnson Controls,41955.0,1226.0
68,Goldman Sachs Group,41664.0,7475.0
69,CHS,40599.3,1260.6
70,Abbott Laboratories,39873.9,5962.9
71,Sears Holdings,39854.0,-930.0
72,DuPont,39528.0,2788.0
73,Humana,39126.0,1222.0
74,World Fuel Services,38945.3,189.3
75,Hess,38373.0,2025.0
76,Ingram Micro,37827.3,305.9
77,Plains All American Pipeline,37797.0,1094.0
78,Honeywell International,37665.0,2926.0
79,United Continental Holdings,37152.0,-723.0
80,Oracle,37121.0,9981.0
81,Liberty Mutual Insurance Group,36944.0,829.0
82,HCA Holdings,36783.0,1605.0
83,Delta Air Lines,36670.0,1009.0
84,Aetna,36595.9,1657.9
85,Deere,36157.1,3064.7
86,Supervalu,36100.0,-1040.0
87,Sprint Nextel,35345.0,-4326.0
88,Mondelēz International,35015.0,3028.0
89,New York Life Insurance,34308.6,1333.2
90,American Express,33808.0,4482.0
91,News Corp.,33706.0,1179.0
92,Allstate,33315.0,2306.0
93,Tyson Foods,33278.0,583.0
94,Massachusetts Mutual Life Insurance,32872.2,1114.6
95,Tesoro,32484.0,743.0
96,Morgan Stanley,32355.0,68.0
97,TIAA-CREF,32156.0,2060.0
98,General Dynamics,31513.0,-332.0
99,Philip Morris International,31377.0,8800.0
100,Nationwide,30356.3,748.5
101,3M,29904.0,4444.0
102,DirecTV,29740.0,2949.0
103,Cigna,29119.0,1623.0
104,Murphy Oil,28776.4,970.9
105,Time Warner,28729.0,3019.0
106,Halliburton,28503.0,2635.0
107,International Paper,27833.0,794.0
108,Publix Super Markets,27706.8,1552.3
109,Macy's,27686.0,1335.0
110,Fluor,27577.1,456.3
111,McDonald's,27567.0,5464.8
112,Hartford Financial Services Group,26412.0,-38.0
113,Rite Aid,26121.2,-368.6
114,Northwestern Mutual,25957.0,783.0
115,TJX,25878.4,1906.7
116,Travelers Cos.,25740.0,2473.0
117,Avnet,25707.5,567.0
118,Aflac,25364.0,2866.0
119,Tech Data,25361.0,214.6
120,Northrop Grumman,25218.0,1978.0
121,AMR,24855.0,-1876.0
122,Staples,24671.9,-210.7
123,Emerson Electric,24507.0,1968.0
124,Raytheon,24414.0,1888.0
125,Occidental Petroleum,24253.0,4598.0
126,Nike,24128.0,2223.0
127,Capital One Financial,23771.0,3517.0
128,Alcoa,23700.0,191.0
129,Exelon,23489.0,1160.0
130,Eli Lilly,22603.4,4088.6
131,Xerox,22390.0,1195.0
132,U.S. Bancorp,22202.0,5647.0
133,EMC,21713.9,2732.6
134,Time Warner Cable,21386.0,2155.0
135,Baker Hughes,21361.0,1311.0
136,Kimberly-Clark,21063.0,1750.0
137,Goodyear Tire & Rubber,20992.0,212.0
138,Union Pacific,20926.0,3943.0
139,United Services Automobile Assn.,20728.6,2832.3
140,ManpowerGroup,20678.0,197.6
141,Arrow Electronics,20405.1,506.3
142,PBF Energy,20138.7,2.0
143,HollyFrontier,20090.7,1727.2
144,National Oilwell Varco,20041.0,2491.0
145,Duke Energy,19624.0,1768.0
146,Nucor,19429.3,504.6
147,United States Steel,19328.0,-124.0
148,Kohl's,19279.0,986.0
149,Qualcomm,19121.0,6109.0
150,CenturyLink,18376.0,777.0
151,Kraft Foods Group,18339.0,1642.0
152,Danaher,18270.3,2392.2
153,AES,18207.0,-912.0
154,Whirlpool,18143.0,401.0
155,Illinois Tool Works,18066.0,2870.0
156,Freeport-McMoRan Copper & Gold,18010.0,3041.0
157,Global Partners,17626.0,45.5
158,Bristol-Myers Squibb,17621.0,1960.0
159,Altria Group,17500.0,4180.0
160,Cummins,17334.0,1645.0
161,Energy Transfer Equity,17288.0,302.0
162,Amgen,17265.0,4345.0
163,Jabil Circuit,17151.9,394.7
164,Southwest Airlines,17088.0,421.0
165,Colgate-Palmolive,17085.0,2472.0
166,Progressive,17083.9,902.3
167,Apache,17078.0,2001.0
168,Paccar,17050.5,1111.6
169,General Mills,16657.9,1567.3
170,PNC Financial Services Group,16606.0,3013.0
171,Southern,16537.0,2350.0
172,Medtronic,16507.0,3617.0
